,"bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs_annotator_ 1","cs_annotator_ 2","cs_annotator_ 3","cs_annotator_ 4","cs_annotator_ 5","cs_annotator_ 6","cs_annotator_ 7","cs_annotator_ 8","cs_annotator_ 9","cs_annotator_ 10","cs_annotator_ 11","cs_annotator_ 12","cs_annotator_ 13","cs_annotator_ 14","cs_annotator_ 15","cs_annotator_ 16","cs_annotator_ 17","cs_annotator_ 18","cs_annotator_ 19","cs_annotator_ 20","cs_annotator_ 21","cs_annotator_ 22","cs_annotator_ 23","cs_annotator_ 24","cs_annotator_ 25","cs upper CI","cs mean","cs lower CI"
"16","Arafat-terror_Arafat-teror","Arafat-terror","Arafat","terror","Arafat-teror","Arafat","teror",7,"4",5,"8.5",7,3,10,4,"9",5,6,6,8,"9.4","6","5",4,"5","7",5,9,5,"7.5",5,6,"16.7439292615243","10.68","4.61607073847566"
"17","architecture-century_architektura-století","architecture-century","architecture","century","architektura-století","architektura","století",6,"2",5,"3",8,6,9,4,"5",7,3,7,3,"9","6","6",7,"7","6",6,7,6,"7",5,6,"15.7826003312194",10,"4.21739966878063"
"19","arrangement-accommodation_dohoda-ubytování","arrangement-accommodation","arrangement","accommodation","dohoda-ubytování","dohoda","ubytování",1,"2",0,"3",3,2,7,0,"7",7,1,5,3,"7","0","4",2,"3","5",2,9,2,"3",2,5,"10.4797911482417","6.2","1.9202088517583"
"20","arrangement-accommodation_sjednání-ubytování","arrangement-accommodation","arrangement","accommodation","sjednání-ubytování","sjednání","ubytování",0,"4",0,"8",4,5,10,0,"8",7,1,7,4,"7","2","4",3,"7","5",4,9,1,"2",5,7,"12.1753006863479","7.84","3.50469931365209"
"21","arrangement-accommodation_zařízení-ubytování","arrangement-accommodation","arrangement","accommodation","zařízení-ubytování","zařízení","ubytování",5,"2",4,"6",5,7,8,1,"4",6,5,7,5,"8.1","6","4",3,"3","4",7,7,5,"7",5,4,"13.6430989964488","8.64","3.63690100355118"
"22","arrangement-accommodation_domluva-ubytování","arrangement-accommodation","arrangement","accommodation","domluva-ubytování","domluva","ubytování",0,"2",1,"7",4,0,9,0,"3",5,1,6,5,"8","3","4",3,"3","4",3,7,1,"4",5,6,"12.1815613192836","7.12","2.05843868071638"
"23","arrival-hotel_příjezd-hotel","arrival-hotel","arrival","hotel","příjezd-hotel","příjezd","hotel",5,"0",5,"2",8,8,8,3,"8",7,1,7,5,"6.7","6","6",4,"6","3",6,7,6,"6",6,7,"12.4416245135557","8.52","4.59837548644432"
"24","asylum-madhouse_ústav-blázinec","asylum-madhouse","asylum","madhouse","ústav-blázinec","ústav","blázinec",8,"4",9,"8",10,7,9,8,"8",6,7,8,7,"9.2","9.5","8.5",7,"7","8",8,8,10,"9.25",5,6,"18.4400184956904","12.6","6.75998150430956"
"25","asylum-madhouse_blázinec-cvokárna","asylum-madhouse","asylum","madhouse","blázinec-cvokárna","blázinec","cvokárna",10,"9",9,"9",10,10,10,10,"10",6,8,10,10,"9.3","9","9.9",9,"7","9",9,10,10,"10",10,10,"18.9899620150802","13.2","7.41003798491975"
"26","asylum-madhouse_útočiště-blázinec","asylum-madhouse","asylum","madhouse","útočiště-blázinec","útočiště","blázinec",2,"0",4,"4",7,1,3,0,"7",5,4,6,3,"4","0","5",2,"3","6",4,5,3,"2",0,3,"7.90831897272081","5.28","2.65168102727919"
"27","atmosphere-landscape_atmosféra-krajina","atmosphere-landscape","atmosphere","landscape","atmosféra-krajina","atmosféra","krajina",7,"4",5,"1",6,3,0,0,"5",8,1,7,8,"5.7","4","7",2,"8","8",7,6,2,"7.75",2,3,"11.7478396175604","7.96","4.1721603824396"
"28","attempt-peace_pokus-mír","attempt-peace","attempt","peace","pokus-mír","pokus","mír",7,"1",5,"5",8,3,3,3,"7",6,1,3,8,"9.2","5","3",4,"7","4",3,1,3,"1",2,2,"13.9493721590071","7.84","1.73062784099289"
"29","baby-mother_dítě-matka","baby-mother","baby","mother","dítě-matka","dítě","matka",9,"5",7,"9",10,9,10,6,"9",8,7,9,9,"10","7","8",8,"9.9","7",7,10,8,"9",7,7,"13.2729650529827","10.92","8.56703494701729"
"30","baby-mother_batole-matka","baby-mother","baby","mother","batole-matka","batole","matka",9,"3",6,"6",9,7,10,6,"9",7,6,8,7,"9.9","8","6.5",6,"5","7",6,9,8,"8.5",6,7,"18.2177248528323","11.84","5.46227514716775"
"31","baby-mother_miminko-matka","baby-mother","baby","mother","miminko-matka","miminko","matka",9,"7",7,"7",8,7,10,6,"9",7,6,9,6,"9.9","8","7",7,"8","7",7,10,8,"8",6,7,"18.9647098019693","12.6","6.2352901980307"
"32","bank-money_banka-peníze","bank-money","bank","money","banka-peníze","banka","peníze",8,"7",7,"9",10,10,10,8,"10",9,8,9,10,"9","8","8",8,"8.8","8",6,10,7,"9",6,7,"18.7357569220994",13,"7.26424307790063"
"33","baseball-season_basebal-sezóna","baseball-season","baseball","season","basebal-sezóna","basebal","sezóna",8,"4",5,"2",7,6,9,2,"8",7,4,7,8,"8.4","7","7",2,"7","7",5,6,4,"2",5,6,"14.7414594143904","9.52","4.29854058560956"
"34","baseball-season_baseball-sezóna","baseball-season","baseball","season","baseball-sezóna","baseball","sezóna",8,"4",5,"6",7,3,10,2,"9",6,4,6,7,"8.5","5","6.5",3,"6","5",5,3,4,"2",5,6,"14.5049286374314","9.2","3.89507136256857"
"35","bed-closet_postel-záchod","bed-closet","bed","closet","postel-záchod","postel","záchod",5,"1",3,"5",5,0,0,0,"4",5,7,1,2,"5","2","5",5,"2","6",5,5,5,"3.5",5,5,"9.07295387323446","5.96","2.84704612676554"
"36","bed-closet_postel-skříň","bed-closet","bed","closet","postel-skříň","postel","skříň",8,"2",7,"3",8,1,10,0,"7",8,5,8,7,"7","6","8",7,"4","7",5,10,5,"5.5",6,8,"13.4006080965257","9.32","5.23939190347432"
"37","bed-closet_postel-šatník","bed-closet","bed","closet","postel-šatník","postel","šatník",8,"2.5",6,"5",7,0,10,1,"7",6,5,8,8,"6.8","7","7",5,"4","7",5,10,5,"6",5,6,"12.974926035867","9.04","5.10507396413298"
"38","benchmark-index_měřítko-index","benchmark-index","benchmark","index","měřítko-index","měřítko","index",7,"0",7,"4",7,0,0,0,"8",6,1,7,6,"7.8","8","7",6,"6","6",1,3,1,"7",3,5,"13.1534306893035","8.12","3.08656931069652"
"39","benchmark-index_měřítko-ukazatel","benchmark-index","benchmark","index","měřítko-ukazatel","měřítko","ukazatel",2,"2",9,"7",8,8,5,2,"8",6,1,8,7,"5.8","8","7.5",6,"3","8",4,9,3,"7.5",7,9,"12.5763034563209","9.08","5.58369654367908"
"40","bird-cock_pták-kohout","bird-cock","bird","cock","pták-kohout","pták","kohout",4,"7",7,"7",8,9,2,0,"10",8,6,8,7,"8.7","8","8",8,"7","7",7,9,8,"7.5",7,8,"16.5115763529724","11.04","5.56842364702764"
"41","bird-crane_pták-jeřáb","bird-crane","bird","crane","pták-jeřáb","pták","jeřáb",9,"4",7,"8",9,7,5,6,"10",8,6,9,10,"8.5","7","7",8,"9","7",7,9,0,"8",6,8,"16.8740058994576","11.48","6.0859941005424"
"42","bishop-rabbi_biskup-rabín","bishop-rabbi","bishop","rabbi","biskup-rabín","biskup","rabín",9,"3",9,"6",8,4,9,3,"9",8,7,9,3,"9.9","4","9",6,"4","8",7,5,8,"9",6,9,"18.1392380899561","11.64","5.14076191004394"
"43","board-recommendation_rada-doporučení","board-recommendation","board","recommendation","rada-doporučení","rada","doporučení",8,"8",9,"9",10,9,10,10,"10",9,7,9,8,"8","9.5","9.5",9,"7.5","8",9,9,9,"8.5",10,9,"17.7002018559294","12.96","8.21979814407064"
"44","board-recommendation_představenstvo-doporučení","board-recommendation","board","recommendation","představenstvo-doporučení","představenstvo","doporučení",1,"1",2,"2",4,3,8,0,"3",4,1,5,0,"1.7","2","2",1,"2","4",3,2,4,"1",2,4,"4.75067661277759","3.64","2.52932338722241"
"45","board-recommendation_výbor-doporučení","board-recommendation","board","recommendation","výbor-doporučení","výbor","doporučení",4,"0",2,"4",7,6,8,1,"6",5,3,5,4,"6.3","3","5",2,"6","3",4,8,3,"7",2,4,"11.0255898165635","7.24","3.45441018343649"
"46","book-library_kniha-knihovna","book-library","book","library","kniha-knihovna","kniha","knihovna",9,"8",7,"8.5",10,8,10,8,"10",9,9,9,9,"9.9","5","8.5",9,"9.3","8",8,10,9,"10",8,8,"19.3290835475157","12.92","6.51091645248427"
"47","book-paper_kniha-papír","book-paper","book","paper","kniha-papír","kniha","papír",9,"5",7,"8",9,5,10,6,"10",6,6,9,8,"9.9","7","7.5",8,"8","7",7,10,5,"8.5",7,6,"18.6544282261801","12.2","5.74557177381989"
"48","boxing-round_box-kolo","boxing-round","boxing","round","box-kolo","box","kolo",0,"2",6,"1",7,4,0,1,"7",6,3,1,4,"6.8","3","4.5",2,"5","3",4,1,5,"6",1,6,"10.790950881092","6.6","2.40904911890797"
"49","boy-lad_kluk-chlapec","boy-lad","boy","lad","kluk-chlapec","kluk","chlapec",10,"6",9,"9",10,9,10,9,"10",8,8,10,10,"10","9.5","9.9",9,"9","9",9,10,10,"9.75",10,10,"14.0342876077984","11.76","9.48571239220161"
"50","boy-lad_chlapec-mladík","boy-lad","boy","lad","chlapec-mladík","chlapec","mladík",9,"6",8,"8",9,8,8,9,"10",7,8,9,10,"9.1","9","9.5",6,"9","8",8,10,9,"9.75",9,10,"19.2667020005568","13.4","7.53329799944321"
"51","boy-lad_chlapec-hoch","boy-lad","boy","lad","chlapec-hoch","chlapec","hoch",10,"6",9,"7",10,9,5,9,"10",9,8,10,10,"10","9","9.9",9,"8","9",9,10,10,"9.75",10,10,"13.2433451856057","11.16","9.07665481439429"
"52","bread-butter_chléb-máslo","bread-butter","bread","butter","chléb-máslo","chléb","máslo",7,"6",7,"7",10,5,10,6,"9",9,5,9,10,"9.5","7","8",8,"9","8",7,10,8,"9",7,7,"19.1873695913292","13.04","6.89263040867082"
"53","bread-butter_chleba-máslo","bread-butter","bread","butter","chleba-máslo","chleba","máslo",7,"6.5",7,"8",7,7,10,7,"9",7,7,8,10,"9.6","6","7",8,"8","7",8,10,8,"9",7,8,"18.9795113981123","12.84","6.70048860188769"
"54","brother-monk_bratr-mnich","brother-monk","brother","monk","bratr-mnich","bratr","mnich",8,"2",6,"8",5,8,4,2,"7",7,5,8,9,"6.8","2","8.5",6,"3","9",1,9,5,"7",6,8,"13.3742340669301","9.36","5.34576593306988"
"55","calculation-computation_kalkulace-výpočet","calculation-computation","calculation","computation","kalkulace-výpočet","kalkulace","výpočet",7,"8",9,"8",9,9,10,8,"10",8,9,10,10,"9.6","9","9.5",9,"6","8",9,10,10,"10",10,10,"18.7799360764994","12.76","6.74006392350056"
"56","calculation-computation_výpočet-výpočet","calculation-computation","calculation","computation","výpočet-výpočet","výpočet","výpočet",10,"10",10,"10",10,10,10,10,"10",10,10,10,10,"10","10","10",10,"10","10",10,10,10,"10",10,10,"9.55309330823088","8.16","6.76690669176912"
"57","calculation-computation_výpočet-počítání","calculation-computation","calculation","computation","výpočet-počítání","výpočet","počítání",9,"7",8,"8",9,7,8,7,"9.5",7,7,9,9,"9.1","8","9",7,"5","8",7,10,9,"9",9,10,"18.6021842466654","12.92","7.23781575333459"
"58","canyon-landscape_kaňon-krajina","canyon-landscape","canyon","landscape","kaňon-krajina","kaňon","krajina",7,"2",6,"3",7,5,9,1,"8",6,4,8,8,"7.8","8","6",6,"5","7",6,10,4,"4",5,7,"14.0964893677461","9.44","4.78351063225388"
"59","car-automobile_automobil-automobil","car-automobile","car","automobile","automobil-automobil","automobil","automobil",10,"10",10,"10",10,10,10,10,"10",10,10,10,10,"10","10","10",10,"10","10",10,10,10,"10",10,10,"9.55309330823088","8.16","6.76690669176912"
"60","car-automobile_auto-automobil","car-automobile","car","automobile","auto-automobil","auto","automobil",10,"10",9,"9.9",10,10,10,10,"10",9,9,10,10,"10","9.8","9.9",10,"9.8","9",10,10,10,"10",10,10,"13.1013960691301",11,"8.89860393086988"
"61","car-flight_automobil-let","car-flight","car","flight","automobil-let","automobil","let",4,"2",2,"6",1,0,9,0,"9",4,2,2,0,"7.6","3","5",1,"6.5","7",4,5,6,"3.5",5,2,"12.1166322650865","7.28","2.44336773491354"
"62","car-flight_auto-let","car-flight","car","flight","auto-let","auto","let",4,"4",3,"6",4,0,9,2,"8",5,4,7,2,"7.8","5","4.5",4,"5","6",4,7,5,"4",5,0,"12.9548705213878","8.12","3.28512947861221"
"63","cell-phone_buňka-telefon","cell-phone","cell","phone","buňka-telefon","buňka","telefon",3,"5",0,"0",3,0,0,0,"0",7,1,0,7,"8.7","1","3",1,"9","4",7,5,2,"0",0,0,"12.4502578302726","6.44","0.429742169727446"
"64","cell-phone_mobil-telefon","cell-phone","cell","phone","mobil-telefon","mobil","telefon",10,"9",9,"8",9,10,10,8,"10",8,8,9,10,"9.7","9","9.5",9,"8","8",9,10,10,"10",8,9,"19.2232568497578","13.08","6.9367431502422"
"65","cemetery-woodland_hřbitov-lesík","cemetery-woodland","cemetery","woodland","hřbitov-lesík","hřbitov","lesík",1,"2",1,"2",6,1,9,0,"2",7,4,4,6,"2.3","2","5",3,"5","6",2,4,3,"7.5",4,4,"7.78318211749967","5.76","3.73681788250033"
"66","cemetery-woodland_hřbitov-zalesnění","cemetery-woodland","cemetery","woodland","hřbitov-zalesnění","hřbitov","zalesnění",5,"1",1,"2",4,0,3,0,"1",4,2,5,3,"2.6","2","4",1,"4","5",0,0,3,"2.5",3,0,"5.88783738304376",4,"2.11216261695624"
"67","cemetery-woodland_hřbitov-les","cemetery-woodland","cemetery","woodland","hřbitov-les","hřbitov","les",2,"3",3,"2",8,1,7,0,"2",6,2,6,6,"2.2","2","5",3,"5","7",2,5,3,"7",4,2,"7.76389593572079","5.84","3.91610406427921"
"68","cemetery-woodland_hřbitov-zálesí","cemetery-woodland","cemetery","woodland","hřbitov-zálesí","hřbitov","zálesí",2,"2",1,"2",0,0,5,0,"4",4,1,5,4,"1.7","0","6",3,"2","7",1,5,3,"4",0,3,"5.64747086109518","4.12","2.59252913890482"
"69","century-nation_století-národ","century-nation","century","nation","století-národ","století","národ",4,"0",2,"1",2,2,10,5,"7",6,1,3,5,"7.7","3","5",3,"5","4",5,6,3,"4",3,3,"11.9718501414149","7.16","2.34814985858505"
"70","century-year_století-rok","century-year","century","year","století-rok","století","rok",7,"6",7,"4",9,8,10,6,"10",8,7,8,6,"8.7","8","9",8,"7","8",6,10,6,"7",7,8,"16.7969731945969","11.44","6.08302680540314"
"71","closet-clothes_skříň-oblečení","closet-clothes","closet","clothes","skříň-oblečení","skříň","oblečení",6,"5",7,"8",8,7,9,5,"9",8,9,8,7,"9.4","2","7",6,"6","6",6,9,8,"7",7,7,"17.553193673045","11.6","5.64680632695502"
"72","closet-clothes_záchod-šaty","closet-clothes","closet","clothes","záchod-šaty","záchod","šaty",4,"0",3,"1",5,0,3,0,"4",4,1,4,0,"5","1","4",1,"4","5",1,1,3,"0.5",0,0,"7.53791035014849","4.28","1.02208964985151"
"73","closet-clothes_šatník-šaty","closet-clothes","closet","clothes","šatník-šaty","šatník","šaty",7,"6",7,"9",9,9,10,6,"9.5",8,7,9,10,"9.9","7","8",8,"7","8",8,10,7,"9.25",7,8,"19.6263007013355","13.28","6.93369929866454"
"74","coast-hill_pobřeží-kopec","coast-hill","coast","hill","pobřeží-kopec","pobřeží","kopec",7,"1",5,"1",6,4,8,0,"8",6,5,8,4,"7.8","4","8",6,"6","7",4,10,7,"5",6,4,"13.8093708102732",9,"4.19062918972679"
"75","coast-shore_pobřeží-pobřeží","coast-shore","coast","shore","pobřeží-pobřeží","pobřeží","pobřeží",10,"10",10,"10",10,10,10,10,"10",10,10,10,10,"10","10","10",10,"10","10",10,10,10,"10",10,10,"9.55309330823088","8.16","6.76690669176912"
"76","coast-shore_pobřeží-břeh","coast-shore","coast","shore","pobřeží-břeh","pobřeží","břeh",9,"8.5",9,"8",9,8,10,9,"9.5",8,9,9,9,"9.8","9","9.5",8,"7","8",9,10,9,"10",9,9,"19.3906023997879","13.24","7.08939760021206"
"522","coast-forest_pobřeží-les","coast-forest","coast","forest","pobřeží-les","pobřeží","les",4,"3",1,"4",7,5,3,0,"2",8,4,6,3,"9.2","5","6",8,"6","6",4,9,5,"6.5",5,4,"15.1148243360981","9.08","3.04517566390188"
"77","company-stock_společnost-akcie","company-stock","company","stock","společnost-akcie","společnost","akcie",7,"1",6,"7",7,6,9,4,"7",8,4,8,4,"7.6","7","8",7,"6","6",6,10,7,"7.5",4,6,"14.6140387943857","10.04","5.4659612056143"
"78","company-stock_společnost-sklad","company-stock","company","stock","společnost-sklad","společnost","sklad",1,"0",0,"1",4,0,0,0,"1",6,1,5,0,"3","2","4",2,"3","2",4,8,1,"0",0,3,"5.53396795760606","3.48","1.42603204239394"
"79","competition-price_soutěž-cena","competition-price","competition","price","soutěž-cena","soutěž","cena",7,"7",6,"7",9,6,9,8,"9",8,5,8,9,"8.8","8","7",7,"7","6",7,10,7,"6",6,6,"17.1193549637955","11.68","6.24064503620448"
"80","computer-internet_počítač-internet","computer-internet","computer","internet","počítač-internet","počítač","internet",6,"7",7,"8",10,8,10,7,"9",8,7,8,9,"8.5","7","7.5",9,"8","8",8,10,9,"9",7,8,"17.8873359689623","12.72","7.55266403103771"
"81","computer-keyboard_počítač-klávesnice","computer-keyboard","computer","keyboard","počítač-klávesnice","počítač","klávesnice",4,"7",7,"8",7,8,10,3,"8",7,7,8,7,"9.7","7","8.5",7,"7","7",8,10,8,"8.25",7,7,"18.6086268727952","12.36","6.11137312720482"
"82","computer-laboratory_počítač-laboratoř","computer-laboratory","computer","laboratory","počítač-laboratoř","počítač","laboratoř",5,"4",4,"5",7,6,9,4,"7",5,2,6,2,"9","4","6.5",4,"5","4",8,7,5,"7",5,7,"15.4469562771348","9.64","3.8330437228652"
"83","computer-news_počítač-zprávy","computer-news","computer","news","počítač-zprávy","počítač","zprávy",6,"3",3,"6.5",3,8,10,2,"9",6,4,7,3,"4.8","3","3",6,"8","3",5,2,6,"5",5,7,"11.1323244805463",8,"4.86767551945367"
"84","computer-news_počítač-noviny","computer-news","computer","news","počítač-noviny","počítač","noviny",4,"3",4,"7",0,3,9,0,"9",7,3,6,6,"8.8","6","6.5",6,"4","6",5,7,6,"6.5",3,6,"15.0144154459108","9.32","3.62558455408923"
"85","computer-software_počítač-software","computer-software","computer","software","počítač-software","počítač","software",8,"8",8,"9",10,9,10,6,"10",9,8,9,8,"9.8","6","8",9,"6","8",8,10,9,"9.5",7,8,"19.4301764817768","13.12","6.80982351822321"
"86","concert-virtuoso_koncert-virtuos","concert-virtuoso","concert","virtuoso","koncert-virtuos","koncert","virtuos",8,"2",7,"7",7,8,10,6,"9",7,5,8,10,"9.6","8","7.5",8,"8","8",6,10,7,"9",7,6,"18.5561429357522","12.36","6.16385706424777"
"87","consumer-confidence_zákazník-sebevědomí","consumer-confidence","consumer","confidence","zákazník-sebevědomí","zákazník","sebevědomí",1,"0",1,"3",9,2,3,0,"5",7,2,4,5,"7","2","3.5",3,"6","4",4,5,0,"5",5,6,"11.00224578247","6.68","2.35775421752997"
"88","consumer-confidence_spotřebitel-důvěra","consumer-confidence","consumer","confidence","spotřebitel-důvěra","spotřebitel","důvěra",3,"1",3,"6",7,9,5,3,"6",8,2,7,4,"7","6","6",4,"4","6",3,9,7,"4.5",6,7,"12.4949883431039","8.4","4.30501165689605"
"89","consumer-energy_spotřebitel-energie","consumer-energy","consumer","energy","spotřebitel-energie","spotřebitel","energie",5,"4",2,"5",8,7,9,0,"9",8,5,6,7,"7.4","9","4.5",4,"5","5",7,8,4,"8",5,6,"13.9672907691046","9.48","4.99270923089538"
"90","consumer-energy_zákazník-energie","consumer-energy","consumer","energy","zákazník-energie","zákazník","energie",6,"3",0,"4",6,3,5,0,"7",6,1,7,5,"3.2","2","5",4,"5","5",3,7,2,"4",1,2,"8.18747285003846",6,"3.81252714996154"
"91","country-citizen_země-obyvatel","country-citizen","country","citizen","země-obyvatel","země","obyvatel",3,"6",6,"9",7,6,9,3,"9",7,6,8,7,"9","1","6",7,"9.5","6",7,9,7,"5",6,8,"17.1912019520298","11.32","5.44879804797021"
"92","country-citizen_stát-občan","country-citizen","country","citizen","stát-občan","stát","občan",6,"7",7,"9",9,10,6,4,"9.5",8,9,8,7,"9.8","8","7",8,"9.5","8",7,10,7,"7",7,7,"19.3635942626036",13,"6.63640573739637"
"93","country-citizen_země-občan","country-citizen","country","citizen","země-občan","země","občan",6,"7",5,"9",10,9,4,8,"9.5",6,6,8,8,"9","7","6",8,"9","3",7,2,7,"6",6,8,"17.4953127040919","11.68","5.8646872959081"
"94","crane-implement_jeřáb-nářadí","crane-implement","crane","implement","jeřáb-nářadí","jeřáb","nářadí",8,"2.5",3,"8",2,0,1,1,"6",4,3,8,5,"7.6","4","6",6,"6","5",5,4,6,"5",4,8,"12.9977428637317","8.28","3.56225713626831"
"95","crane-implement_jeřáb-nástroj","crane-implement","crane","implement","jeřáb-nástroj","jeřáb","nástroj",8,"3.5",4,"7",2,0,8,0,"9",7,4,8,7,"5.7","2","7",4,"5","6",3,8,6,"3",5,5,"11.4246622350446",8,"4.57533776495543"
"96","credit-card_kredit-karta","credit-card","credit","card","kredit-karta","kredit","karta",5,"6",4,"7.5",9,9,10,7,"9",7,5,8,7,"9.3","3","7.5",9,"7","6",6,10,7,"8",6,7,"17.771305979012","11.84","5.90869402098798"
"97","credit-card_úvěr-karta","credit-card","credit","card","úvěr-karta","úvěr","karta",3,"7",4,"6.5",8,8,9,7,"8",5,7,7,3,"7.6","7","7",7,"6","7",7,10,8,"7",6,7,"15.1060472330514","10.6","6.09395276694861"
"98","credit-card_kreditní-karta","credit-card","credit","card","kreditní-karta","kreditní","karta",6,"6",5,"8",8,10,10,9,"9",8,7,8,10,"10","8","7",9,"5","9",8,10,7,"8.5",6,6,"11.5672950883347",10,"8.43270491166531"
"99","credit-information_věrohodnost-informace","credit-information","credit","information","věrohodnost-informace","věrohodnost","informace",4,"2",4,"7",8,9,10,8,"8",7,7,6,2,"7.5","5","7.5",7,"5","6",5,10,5,"5.5",4,7,"14.2297757621419","9.8","5.37022423785812"
"100","credit-information_úvěr-informace","credit-information","credit","information","úvěr-informace","úvěr","informace",4,"1",2,"5",9,1,1,3,"3",7,2,7,6,"4.5","4","4",3,"2","5",2,6,6,"2",0,3,"8.54251494350736","5.76","2.97748505649264"
"101","credit-information_kredit-informace","credit-information","credit","information","kredit-informace","kredit","informace",6,"0",2,"1",7,0,0,0,"4",7,1,7,3,"3.2","4","3",2,"3","5",1,7,1,"3",1,0,"6.71757550798405","4.52","2.32242449201595"
"102","cucumber-potato_okurka-brambor","cucumber-potato","cucumber","potato","okurka-brambor","okurka","brambor",5,"5",7,"5",6,2,9,1,"7",8,6,8,4,"8.8","8","8",8,"4","8",5,10,8,"4",6,8,"15.8627877788664","10.32","4.77721222113357"
