Word 1;Word 2;Human (mean);Slovo 1 p1;Slovo 2 p1;Slovo 1 p2;Slovo 2 p2;Slovo 1 p3;Slovo 2 p3;Slovo 1 p4;Slovo 2 p4;Word 1 orig;Word 2 orig
dřevo;les;7,73;dřevo;les;dřevo;les;dřevo;les;dřevo;les;wood;forest
peníze;hotovost;9,15;peníze;hotovost;peníze;hotovost;peníze;hotovost;peníze;hotovost;money;cash
profesor;okurka;0,31;profesor;okurka;profesor;okurka;profesor;okurka;profesor;okurka;professor;cucumber
král;zelí;0,23;král;zelí;král;kapusta;král;zelí;král;kapusta;king;cabbage
král;královna;8,58;král;královna;král;královna;král;královna;král;královna;king;queen
král;věž;5,92;král;věž;král;věž;král;věž;král;vež;king;rook
biskup;rabín;6,69;biskup;rabín;biskup;rabín;biskup;rabín;biskup;rabín;bishop;rabbi
Jeruzalém;Izrael;8,46;Jeruzalém;Izrael;Jeruzalém;Izrael;Jeruzalém;Izrael;Jeruzalém;Izrael;Jerusalem;Israel
Jeruzalém;Palestinec;7,65;Jeruzalém;Palestinec;Jeruzalém;Palestinec;Jeruzalém;Palestinec;Jeruzalém;Palestinec;Jerusalem;Palestinian
svatý;sex;1,62;svatý;sex;svatý;sex;svatý;sex;svatý;sex;holy;sex
šoustání;sex;9,44;šukat;sex;šoustání;sex;šoustat;sex;šoustání ;sex;fuck;sex
Maradona;fotbal;8,62;Maradona;fotbal;Maradona;fotbal;Maradona;fotbal;Maradona;fotbal;Maradona;football
fotbal;kopaná;9,03;fotbal;kopaná;fotbal;kopaná;fotbal;fotbal;fotbal;kopaná;football;soccer
fotbal;basketbal;6,81;fotbal;basketbal;fotbal;basketbal;fotbal;basketbal;fotbal;basketbal;football;basketball
fotbal;tenis;6,63;fotbal;tenis;fotbal;tenis;fotbal;tenis;fotbal;tenis;football;tennis
tenis;raketa;7,56;tenis;raketa;tenis;raketa;tenis;raketa;tenis;raketa;tennis;racket
Arafat;mír;6,73;Arafat;mír;Arafat;mír;Arafat;mír;Arafat;mír;Arafat;peace
Arafat;teror;7,65;Arafat;teror;Arafat;terorismus;Arafat;teror;Arafat;teror;Arafat;terror
Arafat;Jackson;2,5;Arafat;Jackson;Arafat;Jackson;Arafat;Jackson;Arafat;Jackson;Arafat;Jackson
zákon;právník;8,38;právo;právník;zákon;právník;zákon;právník;zákon;právník;law;lawyer
film;hvězda;7,38;film;hvězda;film;hvězda;film;hvězda;film;hvězda;movie;star
film;popcorn;6,19;film;popcorn;film;popcorn;film;popcorn;film;popkorn ;movie;popcorn
film;kritik;6,73;film;kritik;film;kritik;film;kritik;film;kritik;movie;critic
film;divadlo;7,92;film;divadlo;film;divadlo;film;divadlo;film;divadlo ;movie;theater
fyzika;proton;8,12;fyzika;proton;fyzika;proton;fyzika;proton;fyzika;proton;physics;proton
fyzika;chemie;7,35;fyzika;chemie;fyzika;chemie;fyzika;chemie;fyzika;chemie;physics;chemistry
vesmír;chemie;4,88;vesmír;chemie;vesmír;chemie;vesmír;chemie;vesmír;chemie;space;chemistry
alkohol;chemie;5,54;alkohol;chemie;alkohol;chemie;alkohol;chemie;líh ;chemie;alcohol;chemistry
vodka;gin;8,46;vodka;gin;vodka;gin;vodka;gin;vodka;gin;vodka;gin
vodka;brandy;8,13;vodka;brandy;vodka;brandy;vodka;brandy;vodka;koňak;vodka;brandy
pití;auto;3,04;pít;auto;pití;auto;pití;automobil;pití;auto;drink;car
pití;ucho;1,31;pít;ucho;pití;ucho;pití;ucho;pití;ucho;drink;ear
pití;ústa;5,96;pít;ústa;pití;ústa;pití;pusa;pítí;ústa;drink;mouth
pít;jíst;6,87;pít;jíst;pít;jíst;pití;jíst;pít;jíst;drink;eat
dítě;matka;7,85;batole;matka;dítě;matka;miminko;matka;dítě;matka;baby;mother
pití;matka;2,65;pít;matka;pití;matka;pití;matka;pití;mother;drink;mother
auto;automobil;8,94;auto;automobil;auto;automobil;automobil;automobil;auto;automobil;car;automobile
drahokam;šperk;8,96;drahokam;šperk;drahokam;klenot;drahokam;klenot;klenot;šperk;gem;jewel
cesta;putování;9,29;cesta;plavba;cesta;výprava;cesta;cesta;cesta ;putování;journey;voyage
chlapec;mladík;8,83;chlapec;mladík;kluk;chlapec;chlapec;hoch;kluk;chlapec;boy;lad
pobřeží;břeh;9,1;pobřeží;břeh;pobřeží;břeh;pobřeží;pobřeží;pobřeží;břeh;coast;shore
ústav;cvokárna;8,87;ústav;blázinec;blázinec;cvokárna;útočiště;blázinec;blázinec;cvokárna;asylum;madhouse
kouzelník;čaroděj;9,02;kouzelník;čaroděj;kouzelník;čaroděj;kouzelník;čaroděj;kouzelník;čaroděj;magician;wizard
poledne;dvanáctá;9,29;poledne;dvanáctá;poledne;poledne;poledne;poledne;poledne;dvanáct;midday;noon
pec;kamna;8,79;pec;kamna;pec;kamna;pec;trouba;pec;kamna;furnace;stove
jídlo;ovoce;7,52;jídlo;ovoce;jídlo;ovoce;jídlo;ovoce;jídlo;ovoce;food;fruit
pták;kohout;7,1;pták;kohout;pták;kohout;pták;kohout;pták;kohout;bird;cock
pták;jeřáb;7,38;pták;jeřáb;pták;jeřáb;pták;jeřáb;pták;jeřáb;bird;crane
nástroj;nářadí;6,46;nástroj;nářadí;nástroj;nářadí;nářadí;nástroj;nástroj;nářadí;tool;implement
bratr;mnich;6,27;bratr;mnich;bratr;mnich;bratr;mnich;bratr;mnich;brother;monk
jeřáb;nářadí;2,69;jeřáb;nářadí;jeřáb;nářadí;jeřáb;nástroj;jeřáb;nářadí;crane;implement
chlapec;bratr;4,46;mladík;bratr;chlapec;bratr;hoch;bratr;chlapec;bratr;lad;brother
cesta;auto;5,85;cesta;auto;cesta;auto;cesta;automobil;cesta ;auto;journey;car
mnich;věštec;5;mnich;věštec;mnich;věštba;mnich;věštírna;mnich;věštec;monk;oracle
hřbitov;lesík;2,08;hřbitov;zalesnění;hřbitov;zálesí;hřbitov;les;hřbitov;lesík;cemetery;woodland
jídlo;kohout;4,42;jídlo;kohout;jídlo;kohout;jídlo;kohout;jídlo;kohout;food;rooster
pobřeží;kopec;4,38;pobřeží;kopec;pobřeží;kopec;pobřeží;kopec;pobřeží;kopec;coast;hill
les;hřbitov;1,85;les;hřbitov;les;hřbitov;les;hřbitov;les;hřbitov;forest;graveyard
břeh;lesík;3,08;břeh;zalesnění;břeh;zálesí;pobřeží;les;břeh;lesík;shore;woodland
mnich;otrok;0,92;mnich;otrok;mnich;otrok;mnich;otrok;mnich;otrok;monk;slave
pobřeží;les;3,15;pobřeží;les;pobřeží;les;pobřeží;les;pobřeží;les;coast;forest
chlapec;čaroděj;0,92;mladík;čaroděj;chlapec;čaroděj;hoch;čaroděj;chlapec;čaroděj;lad;wizard
akord;úsměv;0,54;akord;úsměv;akord;úsměv;akord;úsměv;akord;úsměv ;chord;smile
sklo;kouzelník;2,08;sklo;kouzelník;sklo;kouzelník;sklo;kouzelník;sklenice;kouzelník;glass;magician
poledne;provaz;0,54;pravé poledne;provaz;poledne;provázek;poledne;vlákno;dvanáct;struna;noon;string
kohout;putování;0,62;kohout;plavba;kohout;výprava;kohout;cesta;kohout;putování;rooster;voyage
peníze;dolar;8,42;peníze;dolar;peníze;dolar;peníze;dolar;peníze;dolar;money;dollar
peníze;hotovost;9,08;peníze;hotovost;peníze;hotovost;peníze;hotovost;peníze;hotovost;money;cash
peníze;měna;9,04;peníze;měna;peníze;měna;peníze;měna;peníze;měna;money;currency
peníze;bohatství;8,27;peníze;bohatství;peníze;bohatství;peníze;bohatství;peníze;bohatství;money;wealth
peníze;majetek;7,57;peníze;majetek;peníze;majetek;peníze;majetek;peníze;majetek;money;property
peníze;vlastnictví;7,29;peníze;vlastnictví;peníze;vlastnictví;peníze;vlastnictví;peníze;vlastnictví;money;possession
peníze;banka;8,5;peníze;banka;peníze;banka;peníze;banka;peníze;banka;money;bank
peníze;vklad;7,73;peníze;vklad;peníze;vklad;peníze;vklad;peníze;vklad;money;deposit
peníze;výběr;6,88;peníze;výběr;peníze;výběr;peníze;stažení;peníze;výběr;money;withdrawal
peníze;praní;5,65;peníze;praní;peníze;praní;peníze;praní;peníze;praní ;money;laundering
peníze;operace;3,31;peníze;operace;peníze;operace;peníze;operace;peníze;transakce;money;operation
tygr;jaguár;8;tygr;jaguár;tygr;jaguár;tygr;jaguár;tygr;jaguár;tiger;jaguar
tygr;kočka;8;tygr;kočkovitá šelma;tygr;kočka;tygr;kočkovitý;tygr;šelma;tiger;feline
tygr;masožravec;7,08;tygr;masožravec;tygr;masožravec;tygr;masožravec;tygr;masožravec;tiger;carnivore
tygr;savec;6,85;tygr;savec;tygr;savec;tygr;savec;tygr;savec;tiger;mammal
tygr;zvíře;7;tygr;zvíře;tygr;zvíře;tygr;zvíře;tygr;zvíře;tiger;animal
tygr;organismus;4,77;tygr;organismus;tygr;organismus;tygr;organismus;tygr;organismus;tiger;organism
tygr;fauna;5,62;tygr;fauna;tygr;fauna;tygr;fauna;tygr;fauna;tiger;fauna
tygr;zoo;5,87;tygr;zoo;tygr;zoo;tygr;zoo;tygr;zoo;tiger;zoo
psychologie;psychiatrie;8,08;psychologie;psychiatrie;psychologie;psychiatrie;psychologie;psychiatrie;psychologie;psychiatrie;psychology;psychiatry
psychologie;úzkost;7;psychologie;úzkost;psychologie;úzkost;psychologie;úzkost;psychologie;úzkost;psychology;anxiety
psychologie;strach;6,85;psychologie;strach;psychologie;strach;psychologie;strach;psychologie;strach;psychology;fear
psychologie;deprese;7,42;psychologie;deprese;psychologie;deprese;psychologie;deprese;psychologie;deprese;psychology;depression
psychologie;klinika;6,58;psychologie;klinika;psychologie;klinika;psychologie;klinika;psychologie ;klinika;psychology;clinic
psychologie;doktor;6,42;psychologie;doktor;psychologie;doktor;psychologie;doktor;psychologie;lékař;psychology;doctor
psychologie;Freud;8,21;psychologie;Freud;psychologie;Freud;psychologie;Freud;psychologie;Freud;psychology;Freud
psychologie;mysl;7,69;psychologie;duše;psychologie;mysl;psychologie;mysl;psychologie;mysl;psychology;mind
psychologie;zdraví;7,23;psychologie;zdraví;psychologie;zdraví;psychologie;zdraví;psychologie;zdraví;psychology;health
psychologie;věda;6,71;psychologie;věda;psychologie;věda;psychologie;věda;psychologie;věda;psychology;science
psychologie;disciplína;5,58;psychologie;disciplína;psychologie;disciplína;psychologie;disciplína;psychologie;disciplína;psychology;discipline
psychologie;vědomí;7,48;psychologie;poznání;psychologie;poznávání;psychologie;poznávací;psychologie;vědomí;psychology;cognition
planeta;hvězda;8,45;planeta;hvězda;planeta;hvězda;planeta;hvězda;planeta;hvězda;planet;star
planeta;souhvězdí;8,06;planeta;konstelace;planeta;souhvězdí;planeta;souhvězdí;planeta;souhvězdí;planet;constellation
planeta;měsíc;8,08;planeta;měsíc;planeta;měsíc;planeta;měsíc;planeta;měsíc;planet;moon
planeta;slunce;8,02;planeta;slunce;planeta;slunce;planeta;slunce;planeta;slunce;planet;sun
planeta;galaxie;8,11;planeta;galaxie;planeta;galaxie;planeta;galaxie;planeta;galaxie;planet;galaxy
planeta;vesmír;7,92;planeta;vesmír;planeta;vesmír;planeta;vesmír;planeta;vesmír;planet;space
planeta;astronom;7,94;planeta;astronom;planeta;astronom;planeta;astronom;planeta;astronom;planet;astronomer
precedent;příklad;5,85;precedent;příklad;precedent;příklad;precedent;příklad;precedent;příklad;precedent;example
precedent;informace;3,85;precedent;informace;precedent;informace;precedent;informace;precedent;informace;precedent;information
precedent;poznání;2,81;precedent;poznání;precedent;poznávání;precedent;poznávací;precedent;vědomí;precedent;cognition
precedent;právo;6,65;precedent;právo;precedent;zákon;precedent;zákon;precedent;zákon;precedent;law
precedent;sbírka;2,5;precedent;sbírka;precedent;sbírka;precedent;kolekce;precedent;soubor;precedent;collection
precedent;skupina;1,77;precedent;skupina;precedent;skupina;precedent;skupina;precedent;skupina;precedent;group
precedent;antecedent;6,04;precedent;antecedent;precedent;antecedent;precedent;antecedent;precedent;antecedent;precedent;antecedent
šálek;káva;6,58;hrnek;káva;šálek;čaj;šálek;káva;šálek;káva;cup;coffee
šálek;nádobí;6,85;hrnek;příbory;šálek;nádobí;šálek;nádobí;šálek;nádobí;cup;tableware
šálek;předmět;2,4;hrnek;zboží;šálek;artikl;šálek;kus;šálek;předmět;cup;article
šálek;artefakt;2,92;hrnek;artefakt;šálek;artefakt;šálek;artefakt;šálek;výrobek;cup;artifact
šálek;objekt;3,69;hrnek;objekt;šálek;objekt;šálek;objekt;šálek;věc;cup;object
šálek;entita;2,15;hrnek;entita;šálek;entita;šálek;entita;šálek;entita;cup;entity
šálek;pít;7,25;hrnek;pít;šálek;pití;šálek;pití;šálek;pítí;cup;drink
šálek;jídlo;5;hrnek;jídlo;šálek;jídlo;šálek;jídlo;šálek;jídlo;cup;food
šálek;látka;1,92;hrnek;látka;šálek;podstata;šálek;hmota;šálek;látka;cup;substance
šálek;tekutina;5,9;hrnek;tekutina;šálek;tekutina;šálek;kapalina;šálek;tekutina;cup;liquid
jaguár;kočka;7,42;jaguár;kočka;jaguár;kočka;jaguár;kočka;jaguár;kočka;jaguar;cat
jaguár;auto;7,27;jaguár;auto;jaguár;auto;jaguár;automobil;jaguár;auto;jaguar;car
energie;sekretářka;1,81;energie;sekretářka;energie;sekretářka;energie;ministr;energie;tajemník;energy;secretary
sekretářka;senát;5,06;sekretářka;senát;sekretářka;senát;ministr;senát;tajemník;senát;secretary;senate
energie;laboratoř;5,09;energie;laboratoř;energie;laboratoř;energie;laboratoř;energie;laboratoř;energy;laboratory
počítač;laboratoř;6,78;počítač;laboratoř;počítač;laboratoř;počítač;laboratoř;počítač;laboratoř;computer;laboratory
zbraň;tajemství;6,06;zbraň;tajná;zbraň;tajemství;zbraň;tajemství;zbraň;tajný;weapon;secret
FBI;otisk;6,94;FBI;otisk prstu;FBI;otisk;FBI;otisk;FBI;otisk ;FBI;fingerprint
FBI;vyšetřování;8,31;FBI;vyšetřování;FBI;vyšetřování;FBI;vyšetřování;FBI;vyšetřování;FBI;investigation
vyšetřování;snaha;4,59;vyšetřování;snaha;vyšetřování;snaha;vyšetřování;snaha;vyšetřování;úsilí;investigation;effort
Mars;voda;2,94;Mars;voda;Mars;voda;Mars;voda;Mars;voda;Mars;water
Mars;vědec;5,63;Mars;vědec;Mars;vědec;Mars;vědec;Mars;vědec;Mars;scientist
noviny;zpráva;8,16;noviny;zpráva;zprávy;reportáž;zprávy;zpráva;zprávy;zpráva;news;report
kaňon;krajina;7,53;kaňon;krajina;kaňon;krajina;kaňon;krajina;kaňon;krajina;canyon;landscape
obraz;povrch;4,56;obraz;povrch;obraz;povrch;obraz;povrch;zobrazení;povrch;image;surface
objev;vesmír;6,34;objev;vesmír;objev;vesmír;objev;vesmír;objev;vesmír;discovery;space
voda;prosakování;6,56;voda;prosakování;voda;průsak;voda;prosakování;voda;prosakování;water;seepage
znak;výklenek;2,38;znamení;výklenek;znak;odchod;znak;úpadek;znak;pauza;sign;recess
středa;zprávy;2,22;středa;noviny;středa;zprávy;středa;zprávy;středa;zprávy;Wednesday;news
míle;kilometr;8,66;míle;kilometr;míle;kilometr;míle;kilometr;míle;kilometr;mile;kilometer
počítač;zprávy;4,47;počítač;noviny;počítač;zprávy;počítač;zprávy;počítač;zprávy;computer;news
území;povrch;5,34;území;povrch;území;povrch;teritorium;povrch;území;povrch;territory;surface
atmosféra;krajina;3,69;atmosféra;krajina;atmosféra;krajina;atmosféra;krajina;atmosféra;krajina;atmosphere;landscape
prezident;medaile;3;prezident;medaile;prezident;medaile;prezident;medaile;prezident;medaile;president;medal
válka;vojsko;8,13;válka;vojsko;válka;jednotky;válka;vojsko;válka;vojáci;war;troops
rekord;číslo;6,31;záznam;číslo;rekord;číslo;rekord;číslo;rekord;číslo;record;number
kůže;oko;6,22;kůže;oko;kůže;oko;kůže;oko;kůže;oko;skin;eye
Japonec;Američan;6,5;Japonec;Američan;Japonec;Američan;Japonec;Američan;Japonec;Američan;Japanese;American
divadlo;historie;3,91;divadlo;historie;divadlo;historie;divadlo;historie;divadlo;historie;theater;history
dobrovolník;motto;2,56;dobrovolník;motto;dobrovolník;motto;dobrovolník;moto;dobrovolník;motto;volunteer;motto
předsudek;rozpoznání;3;předsudek;rozpoznání;předsudek;uznání;předsudek;posouzení;předsudek;rozpoznání;prejudice;recognition
řád;udatnost;5,63;řád;chrabrost;řád;udatnost;dekorace;odvaha;vyznamenání;udatnost;decoration;valor
století;rok;7,59;století;rok;století;rok;století;rok;století;rok;century;year
století;národ;3,16;století;národ;století;národ;století;národ;století;národ ;century;nation
zpoždění;rasismus;1,19;zpoždění;rasismus;zpoždění;rasismus;zpoždění;rasismus;zpoždění ;rasismus;delay;racism
zpoždění;zprávy;3,31;zpoždění;noviny;zpoždění;zprávy;zpoždění;zprávy;zpoždění ;zprávy;delay;news
ministr;strana;6,63;ministr;strana;ministr;strana;ministr;strana;ministr;strana;minister;party
mír;plán;4,75;mír;plán;mír;plán;mír;plán;mír;plán;peace;plan
menšina;mír;3,69;minorita;mír;menšina;mír;menšina;mír;menšina;mír;minority;peace
pokus;mír;4,25;pokus;mír;pokus;mír;pokus;mír;pokus;mír;attempt;peace
vláda;krize;6,56;vláda;krize;vláda;krize;vláda;krize;vláda;krize;government;crisis
rozmístění;odjezd;4,25;rozmístění;odjezd;rozmístění;odjezd;rozmístění;odchod;nasazení;odchod;deployment;departure
rozmístění;stažení;5,88;rozmístění;stažení;rozmístění;stažení;rozmístění;stažení;nasazení;stažení;deployment;withdrawal
energie;krize;5,94;energie;krize;energie;krize;energie;krize;energie;krize;energy;crisis
oznámení;zprávy;7,56;oznámení;noviny;oznámení;zprávy;oznámení;zprávy;oznámení;zprávy;announcement;news
oznámení;snaha;2,75;oznámení;snaha;oznámení;snaha;oznámení;úsilí;oznámení;úsilí;announcement;effort
mrtvice;nemocnice;7,03;mrtvice;nemocnice;mrtvice;nemocnice;mrtvice;nemocnice;mrtvice;nemocnice;stroke;hospital
postižení;smrt;5,47;invalidita;smrt;postižení;smrt;neschopnost;smrt;postižení;smrt;disability;death
oběť;nouze;6,47;oběť;pohotovost;oběť;nouze;oběť;nebezpečí;oběť;krize;victim;emergency
léčba;zotavení;7,91;péče;zotavení;léčba;zotavení;léčba;zotavení;léčba;zotavení;treatment;recovery
časopis;asociace;4,97;deník;asociace;žurnál;asociace;žurnál;asociace;časopis;sdružení;journal;association
doktor;personál;5;doktor;personál;doktor;personál;doktor;personál;doktor;personál;doctor;personnel
doktor;odpovědnost;5,19;doktor;odpovědnost;doktor;riziko;doktor;náchylnost;doktor;ručení;doctor;liability
odpovědnost;pojištění;7,03;pojištění;odpovědnosti;riziko;pojištění;náchylnost;pojištění;ručení;pojištění;liability;insurance
škola;centrum;3,44;škola;centrum;škola;centrum;škola;centrum;škola;centrum;school;center
důvod;hypertenze;2,31;rozum;hypertenze;důvod;hypertenze;důvod;hypertenze;příčina;hypertenze;reason;hypertension
rozum;kritérium;5,91;rozum;kritérium;důvod;kritérium;důvod;kritérium;příčina;kritérium;reason;criterion
sto;procento;7,38;sto;procento;sto;procento;sto;procento;sto;procento;hundred;percent
Harvard;Yale;8,13;Harvard;Yale;Harvard;Yale;Harvard;Yale;Harvard;Yale;Harvard;Yale
nemocnice;infrastruktura;4,63;nemocnice;infrastruktura;nemocnice;infrastruktura;nemocnice;infrastruktura;nemocnice;infrastruktura;hospital;infrastructure
smrt;cela;5,25;smrt;řada;smrt;hádka;smrt;řada;smrt;hádka;death;row
smrt;vězeň;5,03;smrt;chovanec;smrt;spolubydlící;smrt;chovanec;smrt;pacient;death;inmate
právník;důkaz;6,69;právník;důkaz;právník;důkazy;právník;důkaz;právník;důkaz;lawyer;evidence
život;smrt;7,88;život;smrt;život;smrt;život;smrt;život;smrt;life;death
život;doba;4,5;doživotní;trest;život;doba;život;termín;život;těhotenství;life;term
slovo;podobnost;4,75;slovo;podobnost;slovo;podobnost;slovo;podoba;slovo;podobnost;word;similarity
rada;doporučení;4,47;představenstvo;doporučení;rada;doporučení;výbor;doporučení;rada;doporučení;board;recommendation
guvernér;rozhovor;3,25;guvernér;rozhovor;guvernér;interview;guvernér;rozhovor;guvernér;interview;governor;interview
OPEC;země;5,63;OPEC;země;OPEC;stát;OPEC;země;OPEC;země;OPEC;country
mír;atmosféra;3,69;mír;atmosféra;mír;atmosféra;mír;atmosféra;mír;atmosféra;peace;atmosphere
mír;pojištění;2,94;mír;pojištění;mír;pojištění;mír;pojištění;mír;pojištění;peace;insurance
území;kilometr;5,28;území;kilometr;území;kilometr;teritorium;kilometr;území;kilometr;territory;kilometer
cestování;aktivita;5;cestování;činnost;cestování;aktivita;cestování;aktivita;cestování;aktivita;travel;activity
soutěž;cena;6,44;soutěž;cena;soutěž;cena;soutěž;cena;soutěž;cena;competition;price
spotřebitel;důvěra;4,13;spotřebitel;důvěra;zákazník;sebevědomí;spotřebitel;důvěra;spotřebitel;důvěra;consumer;confidence
spotřebitel;energie;4,75;spotřebitel;energie;zákazník;energie;spotřebitel;energie;spotřebitel;energie;consumer;energy
problém;letiště;2,38;problém;letiště;problém;letiště;problém;letiště;problém;letiště;problem;airport
auto;let;4,94;auto;let;auto;let;automobil;let;auto;let;car;flight
kredit;karta;8,06;kreditní;karta;úvěr;karta;kredit;karta;kredit;karta;credit;card
kredit;informace;5,31;kredit;informace;úvěr;informace;kredit;informace;věrohodnost;informace;credit;information
hotel;rezervace;8,03;hotel;rezervace;hotel;rezervace;hotel;rezervace;hotel;rezervace;hotel;reservation
potraviny;peníze;5,94;potraviny;peníze;potraviny;peníze;potraviny;peníze;potraviny;peníze;grocery;money
registrace;uspořádání;6;registrace;sjednání;registrace;dohoda;registrace;zařízení;registrace;domluva;registration;arrangement
uspořádání;ubytování;5,41;sjednání;ubytování;dohoda;ubytování;zařízení;ubytování;domluva;ubytování;arrangement;accommodation
měsíc;hotel;1,81;měsíc;hotel;měsíc;hotel;měsíc;hotel;měsíc;hotel;month;hotel
typ;druh;8,97;typ;druh;typ;druh;typ;druh;typ;druh;type;kind
příjezd;hotel;6;příjezd;hotel;příjezd;hotel;příjezd;hotel;příjezd;hotel;arrival;hotel
postel;skříň;6,72;postel;záchod;postel;skříň;postel;šatník;postel;skříň;bed;closet
skříň;šaty;8;záchod;šaty;skříň;oblečení;šatník;šaty;skříň;oblečení;closet;clothes
situace;závěr;4,81;situace;závěr;situace;závěr;situace;závěr;situace ;závěr;situation;conclusion
situace;izolace;3,88;situace;izolace;situace;izolace;situace;izolace;situace ;izolace;situation;isolation
nestrannost;zájem;5,16;nestrannost;zájem;nestrannost;zájem;nestrannost;zájem;nestrannost;zájem;impartiality;interest
směr;kombinace;2,25;směr;kombinace;směr;kombinace;směr;kombinace;směr;kombinace;direction;combination
ulice;místo;6,44;ulice;místo;ulice;místo;ulice;místo;ulice;místo;street;place
ulice;třída;8,88;ulice;avenue;ulice;třída;ulice;třída;ulice;třída;street;avenue
ulice;blok;6,88;ulice;blok;ulice;blok;ulice;blok;ulice;blok;street;block
ulice;děti;4,94;ulice;děti;ulice;děti;ulice;děti;ulice;děti;street;children
seznam;blízkost;2,56;výpis;blízkost;seznam;blízkost;soupis;blízkost;seznam;blízkost;listing;proximity
seznam;kategorie;6,38;výpis;kategorie;seznam;kategorie;soupis;kategorie;seznam;kategorie;listing;category
mobil;telefon;7,81;mobil;telefon;mobil;telefon;buňka;telefon;buňka;telefon;cell;phone
produkce;výlet;1,75;výroba;túra;produkce;výlet;produkce;výlet;produkce;túra;production;hike
měřítko;index;4,25;měřítko;ukazatel;měřítko;index;měřítko;index;měřítko;index;benchmark;index
média;obchodování;3,88;média;obchodování;média;obchodování;média;trénink;média;obchodování;media;trading
média;zisk;2,88;média;výtěžek;média;nárůst;média;zisk;média;zisk;media;gain
dividenda;platba;7,63;dividenda;platba;dividend;platba;dividenda;platba;dividenda;platba;dividend;payment
dividenda;výpočet;6,48;dividenda;kalkulace;dividend;výpočet;dividenda;výpočet;dividenda;propočet;dividend;calculation
kalkulace;výpočet;8,44;kalkulace;výpočet;výpočet;počítání;výpočet;výpočet;výpočet;výpočet;calculation;computation
měna;trh;7,5;měna;trh;měna;trh;měna;trh;měna;trh;currency;market
OPEC;ropa;8,59;OPEC;ropa;OPEC;ropa;OPEC;ropa;OPEC;ropa;OPEC;oil
ropa;zásoba;6,34;ropa;sklad;ropa;zásoba;ropa;zásoba;ropa;akcie;oil;stock
oznámení;produkce;3,38;oznámení;výroba;oznámení;produkce;oznámení;produkce;oznámení;produkce;announcement;production
