slovo_1.v;slovo_2.v
telefon;komunikace
hrnek;tekutina
právo;právník
pohroma;oblast
televize;film
postižení;smrt
Arafat;Jackson
řád;chrabrost
dolar;yen
ručení;pojištění
média;rádio
hrnek;objekt
produkce;výlet
výstava;memorabilia
krevety;humr
hra;porážka
tygr;tygr
pít;ústa
média;rozhlas
počítač;klávesnice
divadlo;historie
seznam;blízkost
šálek;entita
mír;atmosféra
předsudek;rozpoznání
zásoba;žít
doživotní;trest
území;kilometr
bratr;mnich
reportáž;nárůst
noviny;zpráva
FBI;vyšetřování
peníze;stažení
šampionát;turnaj
šance;věrohodnost
jaguár;kočka
mobil;telefon
kouzelník;čaroděj
pec;trouba
pobřeží;břeh
válka;vojáci
změna;postoj
precedent;poznávací
zprávy;reportáž
média;trénink
výroba;posádka
krevety;moře
fyzika;chemie
tygr;organismus
auto;let
pozornost;život
šálek;věc
jeřáb;nástroj
zásoba;jaguár
deník;asociace
hrnek;příbory
registrace;domluva
riziko;pojištění
mnich;věštírna
vodka;brandy
moralita;důležitost
vybavení;výrobce
